,"Baal Gammon","Emuford","Gurrumba","Ibis Dam","Dargo","Jumna","Mt Misery Central","Mt Misery East","Mt Misery North","Mt Misery South","Springmount","Stannary Hill South","Stannary Hill North"
"Baal Gammon",0,0.91695886,0.858716348,0.637515545,0.53285818,0.659846866,0.762845027,0.803726217,0.763944787,0.771220574,0.878319582,0.831567614,0.759659423
"Emuford",0.91695886,0,0.868534115,0.85425795,0.775041329,0.89133136,0.778148471,0.836558421,0.793883991,0.788154248,0.951806591,0.885796643,0.784979293
"Gurrumba",0.858716348,0.868534115,0,0.780375837,0.705872373,0.789665058,0.546815465,0.609536558,0.540130603,0.606544958,0.908895917,0.793586103,0.611044734
"Ibis Dam",0.637515545,0.85425795,0.780375837,0,0.288991257,0.398180107,0.671097346,0.705819923,0.659779945,0.672771274,0.778374575,0.738315918,0.663821254
"Dargo",0.53285818,0.775041329,0.705872373,0.288991257,0,0.24250059,0.585164968,0.62778549,0.574096638,0.585973696,0.672278878,0.65455747,0.578746736
"Jumna",0.659846866,0.89133136,0.789665058,0.398180107,0.24250059,0,0.662019491,0.709095039,0.659359574,0.664677672,0.845417811,0.75449178,0.646971428
"Mt Misery Central",0.762845027,0.778148471,0.546815465,0.671097346,0.585164968,0.662019491,0,0.204753845,0.240397368,0.402891987,0.818360698,0.680443176,0.50913168
"Mt Misery East",0.803726217,0.836558421,0.609536558,0.705819923,0.62778549,0.709095039,0.204753845,0,0.356440465,0.494955932,0.872513821,0.74003991,0.572633708
"Mt Misery North",0.763944787,0.793883991,0.540130603,0.659779945,0.574096638,0.659359574,0.240397368,0.356440465,0,0.433807797,0.824831922,0.686030786,0.504866328
"Mt Misery South",0.771220574,0.788154248,0.606544958,0.672771274,0.585973696,0.664677672,0.402891987,0.494955932,0.433807797,0,0.830022501,0.689777102,0.536314298
"Springmount",0.878319582,0.951806591,0.908895917,0.778374575,0.672278878,0.845417811,0.818360698,0.872513821,0.824831922,0.830022501,0,0.892566384,0.821756283
"Stannary Hill South",0.831567614,0.885796643,0.793586103,0.738315918,0.65455747,0.75449178,0.680443176,0.74003991,0.686030786,0.689777102,0.892566384,0,0.644370406
"Stannary Hill North",0.759659423,0.784979293,0.611044734,0.663821254,0.578746736,0.646971428,0.50913168,0.572633708,0.504866328,0.536314298,0.821756283,0.644370406,0
